id,node_id,position
11701016,2807997941,14
11701016,104707658,15
11701016,2029509524,16
11701016,2029509491,17
11701016,2029509575,18
11701016,2029509510,19
11701016,104707668,20
11701921,1252114607,0
11701921,2356454732,1
11701921,104717412,2
11701921,104717418,3
11701921,2356454637,4
11701921,5261044841,5
11701921,104717440,6
11701921,4047129263,7
11701921,5261044712,8
11701921,5261044688,9
11701921,104717459,10
11702741,104726441,0
11702741,104726448,1
11702741,104726457,2
11702741,104726469,3
11702741,104726471,4
11703384,104734657,0
11703384,104734669,1
11703384,1254864033,2
11703384,1254864050,3
11703384,1254863914,4
11703384,104734678,5
11705519,104763685,0
11705519,4677371386,1
11705519,104570838,2
11706418,104764837,0
11706418,1253650357,1
11707314,4507432180,0
11707314,104785198,1
11708041,104792407,0
11708041,656067844,1
11708819,104551785,0
11708819,4556207541,1
11708819,4016478691,2
11708819,104801400,3
11709362,104810261,0
11709362,2295169593,1
11709362,104810268,2
11709362,2295169594,3
11710196,683770732,0
11710196,5161996777,1
11710196,5161996775,2
11710196,5161996776,3
11710196,5161996778,4
11710196,5161996779,5
11710196,5161996780,6
11710196,5161996781,7
11710196,5161996782,8
11710196,5161996783,9
11710196,5161996784,10
11710196,5161996785,11
11710196,5161996786,12
11710196,5161996787,13
11710196,5161996788,14
11710196,5161996789,15
11710196,5380022496,16
11710196,5161996790,17
11710196,683770871,18
11710196,5161996774,19
11710836,104675012,0
11710836,4046916242,1
11710836,104187324,2
11710836,4046916243,3
11710836,2501961476,4
11710836,104186104,5
11710836,2501961482,6
11710836,104826426,7
11711850,104838028,0
11711850,104838038,1
11711850,104838050,2
11711850,104838060,3
11711850,104838065,4
11711850,104538486,5
11712186,104590348,0
11712186,104841779,1
11712402,104844226,0
11712402,683798388,1
11713112,104459893,0
11713112,4232985242,1
11713112,4289950890,2
11713112,104852275,3
11713112,4232985403,4
11713112,3195259005,5
11713112,104852284,6
11713112,4232985390,7
11713883,107547762,0
11713883,4070756434,1
11713883,104861142,2
11713883,104861154,3
11713883,4070756443,4
11714689,683704630,0
11714689,683704702,1
11714689,683704703,2
11714689,2930613595,3
11714689,2930613594,4
11715391,104763266,0
11715391,104595297,1
11716606,104891107,0
11716606,104891120,1
11717215,104897203,0
11717215,104467279,1
11717215,104897213,2
11717718,104874174,0
11717718,104902936,1
11717718,104902942,2
11717718,104689347,3
11718876,104914864,0
11718876,5205539176,1
11718876,5205539180,2
11718876,104914880,3
11718876,5205581442,4
11718876,5205581456,5
11718876,5205581445,6
11718876,104914890,7
11720233,4072622999,0
11720233,4072622998,1
11720233,4072622997,2
11720233,4072622996,3
11720233,4072622995,4
11720233,104927382,5
11720233,4072622994,6
11720233,104927389,7
11720994,104921741,0
11720994,104934400,1
11721865,104646830,0
11721865,104824249,1
11721865,3117705323,2
11721865,104941781,3
11721865,104941767,4
11721865,104721953,5
11722662,104949702,0
11722662,104949687,1
11722662,104949679,2
11722662,104711670,3
11722662,104775273,4
11722662,4513798514,5
11722662,104949671,6
11724352,104968226,0
11724352,1252520714,1
11724352,104968235,2
11724352,104968240,3
11724352,104968252,4
11724352,104512991,5
11724352,5256722558,6
11724352,104351283,7
11724352,104835616,8
11724352,5211622776,9
11724352,104968274,10
11725622,686152127,0
11725622,686152166,1
11725622,686152168,2
11725622,686152170,3
11725622,3994512964,4
11725622,686152171,5
11725622,686152173,6
11725622,3802851159,7
11725622,1254864102,8
11725622,1254863966,9
11725622,104792619,10
11725622,104980667,11
11725622,104980675,12
11725622,104980685,13
11725622,1254863504,14
11725622,104980697,15
11725622,3994512963,16
11725622,104716173,17
11726131,104557506,0
11726131,104561037,1
11726131,104985076,2
11726131,1459420209,3
11726942,104992775,0
11726942,104992785,1
11726942,104992795,2
11726942,104992810,3
11726942,2843784132,4
11727897,105001846,0
11727897,105001836,1
11728689,104821882,0
11728689,1025816734,1
11728689,1025816735,2
11728689,1025816736,3
11728689,1025816738,4
11728689,105008887,5
11728689,104623756,6
11729265,105014466,0
11729265,105014476,1
11729265,104642612,2
11729757,105018892,0
11729757,105018904,1
11730925,104940943,0
11730925,4046916268,1
11731329,517880037,0
11731329,104575129,1
11731329,104392856,2
11731329,105032602,3
11731329,105032606,4
11731329,105032612,5
11731329,2632119297,6
11732268,104935870,0
11732268,105039991,1
11732268,104739451,2
11732268,105041053,3
11732268,104570849,4
11732851,105046708,0
11732851,105046718,1
11733755,104611454,0
11733755,105055424,1
11733755,105055431,2
11733755,1025872843,3
11733755,1025872846,4
11733755,1025872849,5
11733755,1025872852,6
11733755,105055442,7
11734594,5010208060,0
11734594,5010208059,1
11734594,5010208061,2
11734594,5010208062,3
11734594,2501737841,4
11734594,5010208063,5
11734594,5010208064,6
11734594,3195258985,7
11734594,3760733235,8
11734594,3760733236,9
11734594,3760733237,10
11734594,3760733240,11
11734594,5010208045,12
11735461,105072465,0
11735461,104706158,1
11735461,105072478,2
11735461,104854414,3
11735461,105072494,4
11735461,105072505,5
11735461,1025879987,6
11735461,1025879988,7
11735461,105072516,8
11735461,104562229,9
11736605,105012943,0
11736605,409011155,1
11736605,1658209277,2
11736605,105083446,3
11736605,105083453,4
11736605,105083457,5
11736605,2522970643,6
11737225,105089833,0
11737225,1254870217,1
11737225,4254748560,2
11738144,105098815,0
11738144,105098821,1
11738144,3637865656,2
11738144,3637865652,3
11738144,104908011,4
11738144,105098832,5
11739244,105070646,0
11739244,105109880,1
11739244,4392857928,2
11739244,3195259034,3
11739244,104911763,4
11739244,4392857927,5
11739244,105109890,6
11739244,104725980,7
11740094,105117019,0
11740094,105117032,1
11741245,105126916,0
11741245,104981194,1
11741708,4253584429,0
11741708,105131000,1
11741708,105131013,2
11742316,105137149,0
11742316,5211512085,1
11742316,5211512090,2
11742316,104770228,3
11743782,105128189,0
11743782,104215294,1
11743782,105151159,2
11744898,104940894,0
11744898,4046916607,1
11745697,105170317,0
11745697,105170337,1
11745697,684907770,2
11745697,105170344,3
11745697,105170359,4
11746670,105178008,0
11746670,2515546386,1
11746670,105178014,2
11746670,3781986731,3
11746670,3781986732,4
11746670,3781986733,5
11746670,104920542,6
11746670,3781986735,7
11746670,3781986737,8
11746670,2501961648,9
11746670,2501961667,10
11746670,2501961675,11
11746670,2501961683,12
11746670,2501961692,13
11746670,105178034,14
11746670,3747677120,15
11746670,3747677122,16
11746670,2501961719,17
11746670,3692449276,18
11746670,3692449277,19
11746670,105178040,20
11746670,2515581420,21
11746670,2501961721,22
11746670,3781992181,23
11746670,105178048,24
11746670,2515581437,25
11746670,2515581438,26
11746670,105178059,27
11746670,2515581447,28
11746670,2515581450,29
11746670,104560367,30
11747346,105130938,0
11747346,104695199,1
11747346,105183387,2
11747346,1253610069,3
11748053,3850541566,0
11748053,104552855,1
11748053,105189213,2
11748053,3775783217,3
11748053,105189226,4
11749368,105199470,0
11749368,1014989993,1
11749368,1014989995,2
11749368,105199478,3
11749368,1014989998,4
11749368,1014990000,5
11749368,105199485,6
11749368,104831892,7
11749368,105199492,8
11749368,105069321,9
11751217,105215156,0
11751217,105215163,1
11751217,105182620,2
11751217,105215173,3
11751217,105215183,4
11751217,2993470698,5
11752381,104689607,0
11752381,105224950,1
11752381,105224962,2
11752381,105151159,3
11752381,105224989,4
11752381,105133148,5
11752381,105224995,6
11752381,105225001,7
11752381,105225014,8
11752381,105225028,9
11752381,105225037,10
11752381,104852023,11
11753371,105234093,0
11753371,104585569,1
11754001,1253676459,0
11754001,105010631,1
11754001,105238955,2
11754765,104866192,0
11754765,3951180301,1
11754765,690734955,2
11754765,105813848,3
11754765,357388093,4
11754765,105116657,5
11755518,105252926,0
11755518,3816409240,1
11755518,105252936,2
11755518,105252946,3
11755518,4556207544,4
11755518,104551760,5
11756576,105261815,0
11756576,302978197,1
11756576,2522970668,2
11756576,2522970655,3
11756576,105261822,4
11756576,302978198,5
11756576,302978199,6
11756576,2522970657,7
11756576,2522970662,8
11756576,104472678,9
11756576,4408673968,10
11756576,4408673967,11
11756576,4408673966,12
11756576,4408673964,13
11756576,4408673965,14
11756576,4408673963,15
11756576,4408673962,16
11756576,4408673961,17
11756576,4408673960,18
11756576,105261891,19
11756576,104527844,20
11756576,2522970669,21
11756576,105116940,22
11803810,105210168,0
11803810,104992785,1
11803810,105681426,2
11804359,105685258,0
11804359,3331321713,1
11804359,104722088,2
11804812,105688767,0
11804812,105688775,1
11805275,105097664,0
11805275,2715045158,1
11805275,104931010,2
11805275,104991736,3
11805275,105692069,4
11805994,105697397,0
11805994,1734711082,1
11805994,1734711077,2
11805994,105697409,3
11805994,1734711043,4
11807095,105045965,0
11807095,104839170,1
11807095,105705262,2
11807497,104820823,0
11807497,2515546384,1
11807497,2501947966,2
11807497,2501947955,3
11807497,2501947949,4
11807497,2515546377,5
11807497,105707956,6
11807497,2515546373,7
11807497,105707931,8
11807497,2515546371,9
11807497,2501947933,10
11807497,2515546374,11
11807497,2501947945,12
11807497,105707937,13
11807497,2515546381,14
11807497,2501947961,15
11807497,105707944,16
11807497,104820823,17
11808030,105711560,0
11808030,2985643124,1
11808030,105711567,2
11809341,105097575,0
11809341,2174857685,1
11809341,2174857641,2
11809341,105711578,3
11809937,105705474,0
11809937,3534619875,1
11809937,105725185,2
11810509,3881214554,0
11810509,104851850,1
11810509,105729174,2
11810509,4394848935,3
11810509,4394848936,4
11810509,104947265,5
11810509,3195259046,6
11810509,4394848937,7
11810509,3455687390,8
11810509,105085190,9
11810509,104638813,10
11810509,105729183,11
11811076,271201374,0
11811076,271201373,1
11811583,105736378,0
11811583,105736382,1
11811583,104649142,2
11811583,105736386,3
11812429,104979348,0
11812429,105743539,1
11813299,105709365,0
11813299,3533818079,1
11813299,3533818081,2
11813299,3534619834,3
11813299,104570789,4
11813804,104852762,0
11813804,5308510246,1
11813804,105012808,2
11813804,5308510939,3
11813804,105758174,4
11813804,5308505759,5
11813804,105758181,6
11813804,656281213,7
11813804,5308505309,8
11813804,5260998474,9
11813804,105758194,10
11813804,5308504008,11
11813804,5308505298,12
11813804,105758203,13
11814253,105762184,0
11814253,105762198,1
11814253,1253610180,2
11814253,1253610165,3
11814253,1253610006,4
11814253,1253609988,5
11815491,104631663,0
11815491,2501961658,1
11815491,3781993176,2
11815491,2515581377,3
11815491,3781993177,4
11815491,2501961677,5
11815491,2501961685,6
11815491,105773237,7
11815491,2501961718,8
11815491,105773248,9
11815491,2515581389,10
11815491,2501961720,11
11815491,2515581394,12
11815491,105773255,13
11815491,2515581402,14
11815491,2515581409,15
11815491,105773260,16
11815491,105773266,17
11815920,104575082,0
11815920,105059045,1
11815920,105777051,2
11817034,684996132,0
11817034,312087852,1
11817630,105133160,0
11817630,105151132,1
11817630,105792584,2
11817630,105789701,3
11817630,1025849723,4
11817630,105792595,5
11818737,105804380,0
11818737,105012771,1
11818737,684791965,2
11818737,105804316,3
11818957,104889619,0
11818957,2985643052,1
11818957,2993405723,2
11819298,105813724,0
11819298,105813716,1
11819298,105802793,2
11819298,1252520746,3
11819298,105813707,4
11819563,2515546358,0
11819563,104922170,1
11819563,105817946,2
11819563,105817954,3
11819890,105823377,0
11819890,1671487069,1
11819890,105823386,2
11820271,105830903,0
11820271,4860138434,1
11820271,4860138437,2
11820271,105830915,3
11820861,684907765,0
11820861,4074240164,1
11820861,4074240165,2
11820861,4074240166,3
11820861,105064470,4
11820861,4074240171,5
11820861,4074240170,6
11820861,4074240168,7
11820861,4074240167,8
11820861,4074240169,9
11820861,4074240172,10
11820861,4074240173,11
11820861,4074240174,12
11820861,4074240178,13
11820861,4074240180,14
11820861,4074240177,15
11820861,4074240175,16
11820861,4074240176,17
11820861,4074240179,18
11820861,4074240181,19
11820861,4074240182,20
11820861,4074240183,21
11820861,4074240184,22
11820861,4074240185,23
11820861,4074240186,24
11820861,104400264,25
11821219,105844938,0
11821219,105844943,1
11821809,105728389,0
11821809,104866067,1
11821809,105852059,2
11821809,105852068,3
11821809,105813837,4
11821809,104538519,5
11821809,105852078,6
11821809,105852092,7
11821809,105035310,8
11821809,105701921,9
11822122,105206758,0
11822122,104775440,1
11822767,105864968,0
11822767,105864978,1
11822767,5513813570,2
11822767,105864995,3
11823259,105873325,0
11823259,104550552,1
11823798,105883870,0
11823798,2984211989,1
11823798,105883878,2
11824242,105251284,0
11824242,105891444,1
11824623,105897040,0
11824623,105897053,1
11824623,105897062,2
11824623,105080513,3
11824623,104644254,4
11825312,104773722,0
11825312,105908238,1
11825312,3830208953,2
11825312,3590156205,3
11825312,104723558,4
11825312,105908266,5
11825869,105917446,0
11825869,4073396859,1
11825869,104685295,2
11825869,4073396860,3
11825869,105117200,4
11825869,4073396861,5
11825869,105902455,6
11825869,4073396862,7
11825869,104619985,8
11826141,105037555,0
11826141,105921418,1
11826141,105921429,2
11826141,105186064,3
11826594,104891044,0
11826594,1456111301,1
11826594,105873461,2
